Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
1999-2003,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.017926466
2009-2013,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.036895169
2010-2014,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.061075054
2011-2015,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.067849591
2012-2016,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.086609846
2013-2017,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.111519297
2014-2018,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.123609239
2015-2019,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.129133092
2016-2020,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.1419526
2017-2021,Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.153729872
1984-1988,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.027410818
1985-1989,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.028661502
1986-1990,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.031371316
1998-2002,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.048880888
1999-2003,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.065556671
2009-2013,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.125902159
2010-2014,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.153938319
2011-2015,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.168633853
2012-2016,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.175512613
2013-2017,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.199067156
2014-2018,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.20834306
2015-2019,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.213345795
2016-2020,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.208134613
2017-2021,Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.21178244
2001-2005 (baseline),Open water area,Ephemeral,2060049670 (South East Wye),Square km,Normal value,Units,0.095364632
2001-2005 (baseline),Open water area,Seasonal,2060049670 (South East Wye),Square km,Normal value,Units,0.009380128
2001-2005 (baseline),Open water area,Permanent,2060049670 (South East Wye),Square km,Normal value,Units,0.088590096
1984-1988,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.19023399
1985-1989,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,0.997211805
1986-1990,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.076109102
1998-2002,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.837150135
1999-2003,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.768049861
2009-2013,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.295708316
2010-2014,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.276843837
2011-2015,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.163865409
2012-2016,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.089449729
2013-2017,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,0.798665768
2014-2018,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,0.839208764
2015-2019,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,0.76124948
2016-2020,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,0.717788222
2017-2021,Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,0.714765736
1984-1988,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.150316335
1985-1989,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.490919197
1986-1990,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.431407498
1998-2002,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,0.641183845
1999-2003,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,0.600745072
2009-2013,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.274342469
2010-2014,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.390030712
2011-2015,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.45464937
2012-2016,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.655488328
2013-2017,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.625055024
2014-2018,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.622762104
2015-2019,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.786705893
2016-2020,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,1.930534518
2017-2021,Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,2.144714103
1984-1988,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,5.933347708
1985-1989,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,5.871543089
1986-1990,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,5.871647312
1998-2002,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,5.243178752
1999-2003,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,5.383255327
2009-2013,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,5.898015894
2010-2014,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,5.891137133
2011-2015,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,6.013912584
2012-2016,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,5.928136526
2013-2017,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,6.356704142
2014-2018,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,6.327104627
2015-2019,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,6.293857286
2016-2020,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,6.288229209
2017-2021,Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,6.238514532
2001-2005 (baseline),Open water area,Ephemeral,2060049680 (Wye),Square km,Normal value,Units,1.499778207
2001-2005 (baseline),Open water area,Seasonal,2060049680 (Wye),Square km,Normal value,Units,0.484639935
2001-2005 (baseline),Open water area,Permanent,2060049680 (Wye),Square km,Normal value,Units,6.179940845
1984-1988,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,10.59287407
1985-1989,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,9.398992248
1986-1990,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,9.407747034
1998-2002,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,12.94832837
1999-2003,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,13.32749398
2009-2013,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,11.29336116
2010-2014,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,11.04384976
2011-2015,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,10.19390596
2012-2016,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,9.521350804
2013-2017,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,8.712679566
2014-2018,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,8.916853681
2015-2019,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,8.311418545
2016-2020,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,8.426272999
2017-2021,Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,8.863282729
1984-1988,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,10.16910074
1985-1989,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,12.39510928
1986-1990,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,12.87068176
1998-2002,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,7.121184555
1999-2003,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,7.450739711
2009-2013,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,10.01922714
2010-2014,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,10.84030099
2011-2015,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,11.25657022
2012-2016,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,12.87683095
2013-2017,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,14.7880841
2014-2018,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,15.40248247
2015-2019,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,17.02024184
2016-2020,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,18.43278486
2017-2021,Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,20.53320391
1984-1988,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,52.71194067
1985-1989,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,53.6748629
1986-1990,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,53.17729923
1998-2002,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,50.75962341
1999-2003,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,53.49080394
2009-2013,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,55.05405435
2010-2014,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,55.01007197
2011-2015,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,56.36591733
2012-2016,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,56.00259371
2013-2017,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,58.62496477
2014-2018,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,58.19191553
2015-2019,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,57.66652416
2016-2020,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,57.23628896
2017-2021,Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,56.59437555
2001-2005 (baseline),Open water area,Ephemeral,2060049690 (Wales & Dee),Square km,Normal value,Units,13.09257389
2001-2005 (baseline),Open water area,Seasonal,2060049690 (Wales & Dee),Square km,Normal value,Units,5.587950559
2001-2005 (baseline),Open water area,Permanent,2060049690 (Wales & Dee),Square km,Normal value,Units,55.982687
1984-1988,Open water area,Ephemeral,2060050410 (Mersey),Square km,Normal value,Units,1.654446091
1985-1989,Open water area,Ephemeral,2060050410 (Mersey),Square km,Normal value,Units,1.419317555
1986-1990,Open water area,Ephemeral,2060050410 (Mersey),Square km,Normal value,Units,1.630683101
1998-2002,Open water area,Ephemeral,2060050410 (Mersey),Square km,Normal value,Units,3.982281132
1999-2003,Open water area,Ephemeral,2060050410 (Mersey),Square km,Normal value,Units,4.169779464
2009-2013,Open water area,Ephemeral,2060050410 (Mersey),Square km,Normal value,Units,3.779149254
2010-2014,Open water area,Ephemeral,2060050410 (Mersey),Square km,Normal value,Units,3.749966635
2011-2015,Open water area,Ephemeral,2060050410 (Mersey),Square km,Normal value,Units,3.53891376
