Year,Region,Local authority,Age,Main method of contraception,Type of contraception,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2021/22,North West,Oldham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.17
2021/22,North West,Rochdale,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.125
2021/22,North West,Salford,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.35
2021/22,North West,Sefton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.875
2021/22,North West,St. Helens,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.4
2021/22,North West,Stockport,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.44
2021/22,North West,Tameside,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.225
2021/22,North West,Trafford,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.29
2021/22,North West,Warrington,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.19
2021/22,North West,Wigan,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.165
2021/22,North West,Wirral,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000002,0.645
2021/22,Yorkshire and The Humber,Barnsley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.115
2021/22,Yorkshire and The Humber,Bradford,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.545
2021/22,Yorkshire and The Humber,Calderdale,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.325
2021/22,Yorkshire and The Humber,East Riding of Yorkshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.585
2021/22,Yorkshire and The Humber,"Kingston upon Hull, City of",,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.505
2021/22,Yorkshire and The Humber,Kirklees,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.645
2021/22,Yorkshire and The Humber,Leeds,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.71
2021/22,Yorkshire and The Humber,North East Lincolnshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.16
2021/22,Yorkshire and The Humber,North Lincolnshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.1
2021/22,Yorkshire and The Humber,North Yorkshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.69
2021/22,Yorkshire and The Humber,Rotherham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.47
2021/22,Yorkshire and The Humber,Sheffield,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,1.015
2021/22,Yorkshire and The Humber,Wakefield,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.23
2021/22,Yorkshire and The Humber,York,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000003,0.375
2021/22,East Midlands,Derby,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.235
2021/22,East Midlands,Derbyshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.795
2021/22,East Midlands,Leicester,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.31
2021/22,East Midlands,Leicestershire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.645
2021/22,East Midlands,Lincolnshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.085
2021/22,East Midlands,North Northamptonshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.235
2021/22,East Midlands,Nottingham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.85
2021/22,East Midlands,Nottinghamshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,1.44
2021/22,East Midlands,West Northamptonshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000004,0.315
2021/22,West Midlands,Birmingham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.03
2021/22,West Midlands,Coventry,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.245
2021/22,West Midlands,Dudley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.275
2021/22,West Midlands,"Herefordshire, County of",,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.23
2021/22,West Midlands,Sandwell,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.32
2021/22,West Midlands,Shropshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.125
2021/22,West Midlands,Staffordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.705
2021/22,West Midlands,Stoke-on-Trent,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.235
2021/22,West Midlands,Telford and Wrekin,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.1
2021/22,West Midlands,Walsall,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.275
2021/22,West Midlands,Warwickshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.52
2021/22,West Midlands,Wolverhampton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.37
2021/22,West Midlands,Worcestershire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000005,0.425
2021/22,East of England,Bedford,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.26
2021/22,East of England,Cambridgeshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.69
2021/22,East of England,Central Bedfordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.185
2021/22,East of England,Essex,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,2.03
2021/22,East of England,Hertfordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.1
2021/22,East of England,Norfolk,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,1.32
2021/22,East of England,Peterborough,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.245
2021/22,East of England,Southend-on-Sea,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.06
2021/22,East of England,Suffolk,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.93
2021/22,East of England,Thurrock,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000006,0.375
2021/22,London,Barking and Dagenham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.24
2021/22,London,Barnet,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.895
2021/22,London,Bexley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.21
2021/22,London,Brent,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.62
2021/22,London,Bromley,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.48
2021/22,London,Camden,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.69
2021/22,London,Croydon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.5
2021/22,London,Ealing,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.965
2021/22,London,Enfield,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.115
2021/22,London,Greenwich,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.5
2021/22,London,Hackney,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,1.225
2021/22,London,Hammersmith and Fulham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.695
2021/22,London,Haringey,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.69
2021/22,London,Harrow,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.515
2021/22,London,Havering,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.275
2021/22,London,Hillingdon,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.645
2021/22,London,Hounslow,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.665
2021/22,London,Islington,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,1.03
2021/22,London,Kensington and Chelsea,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.395
2021/22,London,Kingston upon Thames,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.41
2021/22,London,Lambeth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.955
2021/22,London,Lewisham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.98
2021/22,London,Merton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.185
2021/22,London,Newham,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.54
2021/22,London,Redbridge,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.28
2021/22,London,Richmond upon Thames,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.31
2021/22,London,Southwark,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.94
2021/22,London,Sutton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.4
2021/22,London,Tower Hamlets,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.865
2021/22,London,Waltham Forest,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.59
2021/22,London,Wandsworth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.525
2021/22,London,Westminster,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000007,0.555
2021/22,South East,Bracknell Forest,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.135
2021/22,South East,Brighton and Hove,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.57
2021/22,South East,Buckinghamshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.015
2021/22,South East,East Sussex,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.745
2021/22,South East,Hampshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.135
2021/22,South East,Isle of Wight,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.125
2021/22,South East,Kent,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.485
2021/22,South East,Medway,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.6
2021/22,South East,Milton Keynes,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.235
2021/22,South East,Oxfordshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.45
2021/22,South East,Portsmouth,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.29
2021/22,South East,Reading,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.065
2021/22,South East,Slough,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.27
2021/22,South East,Southampton,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.315
2021/22,South East,Surrey,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,1.34
2021/22,South East,West Berkshire,,Long acting reversible contraceptives,IU system,Normal value,Thousands,Number,E12000008,0.03
