Year,Units,Local Authority,Deprivation decile,Unit multiplier,Unit measure,Value
2017/18,Met need (%),North East Lincolnshire,,Units,Percentage (%),17.36285858
2018/19,Met need (%),North East Lincolnshire,,Units,Percentage (%),20.45339198
2010/11,Number of people in treatment,North East Lincolnshire,,Units,Count,405
2011/12,Number of people in treatment,North East Lincolnshire,,Units,Count,380
2012/13,Number of people in treatment,North East Lincolnshire,,Units,Count,295
2013/14,Number of people in treatment,North East Lincolnshire,,Units,Count,275
2014/15,Number of people in treatment,North East Lincolnshire,,Units,Count,220
2015/16,Number of people in treatment,North East Lincolnshire,,Units,Count,315
2016/17,Number of people in treatment,North East Lincolnshire,,Units,Count,355
2017/18,Number of people in treatment,North East Lincolnshire,,Units,Count,345
2018/19,Number of people in treatment,North East Lincolnshire,,Units,Count,403
2018/19,Number of people in treatment,North East Lincolnshire,,Units,Count,405
2010/11,Estimated prevalence,North Lincolnshire,,Units,Number,1727
2011/12,Estimated prevalence,North Lincolnshire,,Units,Number,1698
2012/13,Estimated prevalence,North Lincolnshire,,Units,Number,1708
2013/14,Estimated prevalence,North Lincolnshire,,Units,Number,1744
2014/15,Estimated prevalence,North Lincolnshire,,Units,Number,1741
2015/16,Estimated prevalence,North Lincolnshire,,Units,Number,1764
2016/17,Estimated prevalence,North Lincolnshire,,Units,Number,1888
2017/18,Estimated prevalence,North Lincolnshire,,Units,Number,1746
2018/19,Estimated prevalence,North Lincolnshire,,Units,Number,1799.333333
2010/11,Met need (%),North Lincolnshire,,Units,Percentage (%),15.34452808
2011/12,Met need (%),North Lincolnshire,,Units,Percentage (%),12.07302709
2012/13,Met need (%),North Lincolnshire,,Units,Percentage (%),14.92974239
2013/14,Met need (%),North Lincolnshire,,Units,Percentage (%),22.07568807
2014/15,Met need (%),North Lincolnshire,,Units,Percentage (%),22.11372774
2015/16,Met need (%),North Lincolnshire,,Units,Percentage (%),18.70748299
2016/17,Met need (%),North Lincolnshire,,Units,Percentage (%),17.21398305
2017/18,Met need (%),North Lincolnshire,,Units,Percentage (%),17.46849943
2018/19,Met need (%),North Lincolnshire,,Units,Percentage (%),19.61837718
2010/11,Number of people in treatment,North Lincolnshire,,Units,Count,265
2011/12,Number of people in treatment,North Lincolnshire,,Units,Count,205
2012/13,Number of people in treatment,North Lincolnshire,,Units,Count,255
2013/14,Number of people in treatment,North Lincolnshire,,Units,Count,385
2014/15,Number of people in treatment,North Lincolnshire,,Units,Count,385
2015/16,Number of people in treatment,North Lincolnshire,,Units,Count,330
2016/17,Number of people in treatment,North Lincolnshire,,Units,Count,325
2017/18,Number of people in treatment,North Lincolnshire,,Units,Count,305
2018/19,Number of people in treatment,North Lincolnshire,,Units,Count,353
2018/19,Number of people in treatment,North Lincolnshire,,Units,Count,350
2010/11,Estimated prevalence,North Somerset,,Units,Number,1787
2011/12,Estimated prevalence,North Somerset,,Units,Number,1776
2012/13,Estimated prevalence,North Somerset,,Units,Number,1772
2013/14,Estimated prevalence,North Somerset,,Units,Number,1828
2014/15,Estimated prevalence,North Somerset,,Units,Number,1817
2015/16,Estimated prevalence,North Somerset,,Units,Number,1824
2016/17,Estimated prevalence,North Somerset,,Units,Number,1739
2017/18,Estimated prevalence,North Somerset,,Units,Number,1724
2018/19,Estimated prevalence,North Somerset,,Units,Number,1762.333333
2010/11,Met need (%),North Somerset,,Units,Percentage (%),19.8656967
2011/12,Met need (%),North Somerset,,Units,Percentage (%),16.61036036
2012/13,Met need (%),North Somerset,,Units,Percentage (%),18.90519187
2013/14,Met need (%),North Somerset,,Units,Percentage (%),21.06126915
2014/15,Met need (%),North Somerset,,Units,Percentage (%),19.5376995
2015/16,Met need (%),North Somerset,,Units,Percentage (%),19.73684211
2016/17,Met need (%),North Somerset,,Units,Percentage (%),23.28924669
2017/18,Met need (%),North Somerset,,Units,Percentage (%),20.59164733
2018/19,Met need (%),North Somerset,,Units,Percentage (%),21.44883677
2010/11,Number of people in treatment,North Somerset,,Units,Count,355
2011/12,Number of people in treatment,North Somerset,,Units,Count,295
2012/13,Number of people in treatment,North Somerset,,Units,Count,335
2013/14,Number of people in treatment,North Somerset,,Units,Count,385
2014/15,Number of people in treatment,North Somerset,,Units,Count,355
2015/16,Number of people in treatment,North Somerset,,Units,Count,360
2016/17,Number of people in treatment,North Somerset,,Units,Count,405
2017/18,Number of people in treatment,North Somerset,,Units,Count,355
2018/19,Number of people in treatment,North Somerset,,Units,Count,378
2018/19,Number of people in treatment,North Somerset,,Units,Count,380
2010/11,Estimated prevalence,North Tyneside,,Units,Number,2516
2011/12,Estimated prevalence,North Tyneside,,Units,Number,2511
2012/13,Estimated prevalence,North Tyneside,,Units,Number,2517
2013/14,Estimated prevalence,North Tyneside,,Units,Number,2586
2014/15,Estimated prevalence,North Tyneside,,Units,Number,2604
2015/16,Estimated prevalence,North Tyneside,,Units,Number,2384
2016/17,Estimated prevalence,North Tyneside,,Units,Number,2403
2017/18,Estimated prevalence,North Tyneside,,Units,Number,2551
2018/19,Estimated prevalence,North Tyneside,,Units,Number,2446
2010/11,Met need (%),North Tyneside,,Units,Percentage (%),16.49443561
2011/12,Met need (%),North Tyneside,,Units,Percentage (%),16.32815611
2012/13,Met need (%),North Tyneside,,Units,Percentage (%),14.50139054
2013/14,Met need (%),North Tyneside,,Units,Percentage (%),21.46171694
2014/15,Met need (%),North Tyneside,,Units,Percentage (%),28.80184332
2015/16,Met need (%),North Tyneside,,Units,Percentage (%),36.70302013
2016/17,Met need (%),North Tyneside,,Units,Percentage (%),32.04327923
2017/18,Met need (%),North Tyneside,,Units,Percentage (%),22.14817719
2018/19,Met need (%),North Tyneside,,Units,Percentage (%),23.91659853
2010/11,Number of people in treatment,North Tyneside,,Units,Count,415
2011/12,Number of people in treatment,North Tyneside,,Units,Count,410
2012/13,Number of people in treatment,North Tyneside,,Units,Count,365
2013/14,Number of people in treatment,North Tyneside,,Units,Count,555
2014/15,Number of people in treatment,North Tyneside,,Units,Count,750
2015/16,Number of people in treatment,North Tyneside,,Units,Count,875
2016/17,Number of people in treatment,North Tyneside,,Units,Count,770
2017/18,Number of people in treatment,North Tyneside,,Units,Count,565
2018/19,Number of people in treatment,North Tyneside,,Units,Count,585
2010/11,Estimated prevalence,North Yorkshire,,Units,Number,5196
2011/12,Estimated prevalence,North Yorkshire,,Units,Number,5201
2012/13,Estimated prevalence,North Yorkshire,,Units,Number,5184
2013/14,Estimated prevalence,North Yorkshire,,Units,Number,5305
2014/15,Estimated prevalence,North Yorkshire,,Units,Number,5340
2015/16,Estimated prevalence,North Yorkshire,,Units,Number,5457
2016/17,Estimated prevalence,North Yorkshire,,Units,Number,5284
2017/18,Estimated prevalence,North Yorkshire,,Units,Number,5286
2018/19,Estimated prevalence,North Yorkshire,,Units,Number,5342.333333
2010/11,Met need (%),North Yorkshire,,Units,Percentage (%),22.13240955
2011/12,Met need (%),North Yorkshire,,Units,Percentage (%),24.89905787
2012/13,Met need (%),North Yorkshire,,Units,Percentage (%),19.0007716
2013/14,Met need (%),North Yorkshire,,Units,Percentage (%),16.11687088
2014/15,Met need (%),North Yorkshire,,Units,Percentage (%),17.41573034
2015/16,Met need (%),North Yorkshire,,Units,Percentage (%),21.53197728
2016/17,Met need (%),North Yorkshire,,Units,Percentage (%),23.18319455
2017/18,Met need (%),North Yorkshire,,Units,Percentage (%),22.89065456
2018/19,Met need (%),North Yorkshire,,Units,Percentage (%),22.81774506
2010/11,Number of people in treatment,North Yorkshire,,Units,Count,1150
2011/12,Number of people in treatment,North Yorkshire,,Units,Count,1295
2012/13,Number of people in treatment,North Yorkshire,,Units,Count,985
2013/14,Number of people in treatment,North Yorkshire,,Units,Count,855
2014/15,Number of people in treatment,North Yorkshire,,Units,Count,930
2015/16,Number of people in treatment,North Yorkshire,,Units,Count,1175
2016/17,Number of people in treatment,North Yorkshire,,Units,Count,1225
2017/18,Number of people in treatment,North Yorkshire,,Units,Count,1210
2018/19,Number of people in treatment,North Yorkshire,,Units,Count,1219
2018/19,Number of people in treatment,North Yorkshire,,Units,Count,1220
2010/11,Estimated prevalence,Northamptonshire,,Units,Number,6428
2011/12,Estimated prevalence,Northamptonshire,,Units,Number,6416
2012/13,Estimated prevalence,Northamptonshire,,Units,Number,6381
2013/14,Estimated prevalence,Northamptonshire,,Units,Number,6528
2014/15,Estimated prevalence,Northamptonshire,,Units,Number,6535
2015/16,Estimated prevalence,Northamptonshire,,Units,Number,6381
2016/17,Estimated prevalence,Northamptonshire,,Units,Number,6868
2017/18,Estimated prevalence,Northamptonshire,,Units,Number,6603
2018/19,Estimated prevalence,Northamptonshire,,Units,Number,6617.333333
2010/11,Met need (%),Northamptonshire,,Units,Percentage (%),9.334163037
2011/12,Met need (%),Northamptonshire,,Units,Percentage (%),8.260598504
2012/13,Met need (%),Northamptonshire,,Units,Percentage (%),9.167842031
2013/14,Met need (%),Northamptonshire,,Units,Percentage (%),19.30147059
2014/15,Met need (%),Northamptonshire,,Units,Percentage (%),24.94261668
2015/16,Met need (%),Northamptonshire,,Units,Percentage (%),24.68265162
2016/17,Met need (%),Northamptonshire,,Units,Percentage (%),19.36517181
2017/18,Met need (%),Northamptonshire,,Units,Percentage (%),16.96198698
2018/19,Met need (%),Northamptonshire,,Units,Percentage (%),19.3280274
2010/11,Number of people in treatment,Northamptonshire,,Units,Count,600
2011/12,Number of people in treatment,Northamptonshire,,Units,Count,530
2012/13,Number of people in treatment,Northamptonshire,,Units,Count,585
2013/14,Number of people in treatment,Northamptonshire,,Units,Count,1260
2014/15,Number of people in treatment,Northamptonshire,,Units,Count,1630
2015/16,Number of people in treatment,Northamptonshire,,Units,Count,1575
2016/17,Number of people in treatment,Northamptonshire,,Units,Count,1330
2017/18,Number of people in treatment,Northamptonshire,,Units,Count,1120
2018/19,Number of people in treatment,Northamptonshire,,Units,Count,1279
2018/19,Number of people in treatment,Northamptonshire,,Units,Count,1280
2010/11,Estimated prevalence,Northumberland,,Units,Number,3153
2011/12,Estimated prevalence,Northumberland,,Units,Number,3150
2012/13,Estimated prevalence,Northumberland,,Units,Number,3150
2013/14,Estimated prevalence,Northumberland,,Units,Number,3231
2014/15,Estimated prevalence,Northumberland,,Units,Number,3236
2015/16,Estimated prevalence,Northumberland,,Units,Number,3297
2016/17,Estimated prevalence,Northumberland,,Units,Number,3165
2017/18,Estimated prevalence,Northumberland,,Units,Number,3224
2018/19,Estimated prevalence,Northumberland,,Units,Number,3228.666667
2010/11,Met need (%),Northumberland,,Units,Percentage (%),15.22359657
2011/12,Met need (%),Northumberland,,Units,Percentage (%),17.14285714
2012/13,Met need (%),Northumberland,,Units,Percentage (%),14.28571429
2013/14,Met need (%),Northumberland,,Units,Percentage (%),20.8913649
2014/15,Met need (%),Northumberland,,Units,Percentage (%),26.42150803
2015/16,Met need (%),Northumberland,,Units,Percentage (%),26.99423719
2016/17,Met need (%),Northumberland,,Units,Percentage (%),21.80094787
2017/18,Met need (%),Northumberland,,Units,Percentage (%),17.2146402
2018/19,Met need (%),Northumberland,,Units,Percentage (%),16.26058228
2010/11,Number of people in treatment,Northumberland,,Units,Count,480
2011/12,Number of people in treatment,Northumberland,,Units,Count,540
2012/13,Number of people in treatment,Northumberland,,Units,Count,450
2013/14,Number of people in treatment,Northumberland,,Units,Count,675
2014/15,Number of people in treatment,Northumberland,,Units,Count,855
2015/16,Number of people in treatment,Northumberland,,Units,Count,890
2016/17,Number of people in treatment,Northumberland,,Units,Count,690
2017/18,Number of people in treatment,Northumberland,,Units,Count,555
2018/19,Number of people in treatment,Northumberland,,Units,Count,525
2010/11,Estimated prevalence,Nottingham,,Units,Number,5269
2011/12,Estimated prevalence,Nottingham,,Units,Number,5260
2012/13,Estimated prevalence,Nottingham,,Units,Number,5227
2013/14,Estimated prevalence,Nottingham,,Units,Number,5460
2014/15,Estimated prevalence,Nottingham,,Units,Number,5515
2015/16,Estimated prevalence,Nottingham,,Units,Number,5350
2016/17,Estimated prevalence,Nottingham,,Units,Number,4615
2017/18,Estimated prevalence,Nottingham,,Units,Number,5014
2018/19,Estimated prevalence,Nottingham,,Units,Number,4993
2010/11,Met need (%),Nottingham,,Units,Percentage (%),18.21977605
2011/12,Met need (%),Nottingham,,Units,Percentage (%),19.39163498
2012/13,Met need (%),Nottingham,,Units,Percentage (%),20.27931892
2013/14,Met need (%),Nottingham,,Units,Percentage (%),18.77289377
2014/15,Met need (%),Nottingham,,Units,Percentage (%),18.40435177
2015/16,Met need (%),Nottingham,,Units,Percentage (%),18.69158879
2016/17,Met need (%),Nottingham,,Units,Percentage (%),21.56013001
2017/18,Met need (%),Nottingham,,Units,Percentage (%),22.33745513
2018/19,Met need (%),Nottingham,,Units,Percentage (%),20.92930102
2010/11,Number of people in treatment,Nottingham,,Units,Count,960
2011/12,Number of people in treatment,Nottingham,,Units,Count,1020
2012/13,Number of people in treatment,Nottingham,,Units,Count,1060
2013/14,Number of people in treatment,Nottingham,,Units,Count,1025
2014/15,Number of people in treatment,Nottingham,,Units,Count,1015
2015/16,Number of people in treatment,Nottingham,,Units,Count,1000
2016/17,Number of people in treatment,Nottingham,,Units,Count,995
2017/18,Number of people in treatment,Nottingham,,Units,Count,1120
2018/19,Number of people in treatment,Nottingham,,Units,Count,1045
2010/11,Estimated prevalence,Nottinghamshire,,Units,Number,8160
2011/12,Estimated prevalence,Nottinghamshire,,Units,Number,8184
2012/13,Estimated prevalence,Nottinghamshire,,Units,Number,8166
2013/14,Estimated prevalence,Nottinghamshire,,Units,Number,8379
2014/15,Estimated prevalence,Nottinghamshire,,Units,Number,8346
2015/16,Estimated prevalence,Nottinghamshire,,Units,Number,8462
2016/17,Estimated prevalence,Nottinghamshire,,Units,Number,8298
2017/18,Estimated prevalence,Nottinghamshire,,Units,Number,8349
2018/19,Estimated prevalence,Nottinghamshire,,Units,Number,8369.666667
2010/11,Met need (%),Nottinghamshire,,Units,Percentage (%),22.30392157
2011/12,Met need (%),Nottinghamshire,,Units,Percentage (%),22.17741935
2012/13,Met need (%),Nottinghamshire,,Units,Percentage (%),22.40999265
2013/14,Met need (%),Nottinghamshire,,Units,Percentage (%),20.94522019
2014/15,Met need (%),Nottinghamshire,,Units,Percentage (%),19.82985861
2015/16,Met need (%),Nottinghamshire,,Units,Percentage (%),21.27156701
2016/17,Met need (%),Nottinghamshire,,Units,Percentage (%),22.11376235
2017/18,Met need (%),Nottinghamshire,,Units,Percentage (%),18.86453467
2018/19,Met need (%),Nottinghamshire,,Units,Percentage (%),18.74626628
2010/11,Number of people in treatment,Nottinghamshire,,Units,Count,1820
2011/12,Number of people in treatment,Nottinghamshire,,Units,Count,1815
2012/13,Number of people in treatment,Nottinghamshire,,Units,Count,1830
2013/14,Number of people in treatment,Nottinghamshire,,Units,Count,1755
2014/15,Number of people in treatment,Nottinghamshire,,Units,Count,1655
2015/16,Number of people in treatment,Nottinghamshire,,Units,Count,1800
2016/17,Number of people in treatment,Nottinghamshire,,Units,Count,1835
